Merchant ID,Merchant Name,Sales Amount,Branch ID,Month
M001,Premium Coffee Shop,45230.50,BR101,2024-01
M002,Downtown Hardware Store,38920.75,BR102,2024-01
M003,Sunset Bakery,52100.25,BR103,2024-01
M004,Tech Solutions Inc,71450.00,BR104,2024-01
M005,Garden Supply Co,33890.50,BR105,2024-01
M006,City Auto Parts,48765.25,BR106,2024-01
M007,Riverside Restaurant,62340.00,BR107,2024-01
M008,Fashion Boutique,41230.75,BR108,2024-01
M009,Home Decor Mart,55890.50,BR109,2024-01
M010,Sports Equipment Plus,67234.25,BR110,2024-01
M011,Pet Supplies Central,28945.00,BR111,2024-01
M012,Book Haven,36780.50,BR112,2024-01
M001,Premium Coffee Shop,48750.25,BR101,2024-02
M002,Downtown Hardware Store,41230.00,BR102,2024-02
M003,Sunset Bakery,54890.75,BR103,2024-02
M004,Tech Solutions Inc,69230.50,BR104,2024-02
M005,Garden Supply Co,35670.25,BR105,2024-02
M006,City Auto Parts,51234.00,BR106,2024-02
M007,Riverside Restaurant,65780.50,BR107,2024-02
M008,Fashion Boutique,43890.25,BR108,2024-02
M009,Home Decor Mart,58234.00,BR109,2024-02
M010,Sports Equipment Plus,70125.75,BR110,2024-02
M011,Pet Supplies Central,30456.50,BR111,2024-02
M001,Premium Coffee Shop,51230.00,BR101,2024-03
M002,Downtown Hardware Store,43890.25,BR102,2024-03
M003,Sunset Bakery,57450.50,BR103,2024-03
M004,Tech Solutions Inc,74890.00,BR104,2024-03
M005,Garden Supply Co,37890.75,BR105,2024-03
M006,City Auto Parts,53678.50,BR106,2024-03
M007,Riverside Restaurant,68234.25,BR107,2024-03
M008,Fashion Boutique,46230.00,BR108,2024-03
M009,Home Decor Mart,60890.50,BR109,2024-03
M010,Sports Equipment Plus,72890.25,BR110,2024-03
