Merchant ID,Merchant Name,Sales Amount,Branch ID,Month
M201,Airport Gift Shop,91234.50,BR301,2024-01
M202,Hotel Resort & Spa,125670.75,BR302,2024-01
M203,Convention Center Catering,87450.25,BR303,2024-01
M204,Golf Club Pro Shop,54890.00,BR304,2024-01
M205,Marina Restaurant,76230.50,BR305,2024-01
M206,Resort Boutique,48790.25,BR306,2024-01
M207,Tourist Information Center,32450.00,BR307,2024-01
M208,Beach Equipment Rental,41230.75,BR308,2024-01
M209,Mountain Lodge,98560.50,BR309,2024-01
M210,Ski Resort Shop,102340.25,BR310,2024-01
M201,Airport Gift Shop,94890.25,BR301,2024-02
M202,Hotel Resort & Spa,130230.50,BR302,2024-02
M203,Convention Center Catering,90125.00,BR303,2024-02
M204,Golf Club Pro Shop,57340.75,BR304,2024-02
M205,Marina Restaurant,79560.25,BR305,2024-02
M206,Resort Boutique,51230.00,BR306,2024-02
M207,Tourist Information Center,34890.50,BR307,2024-02
M208,Beach Equipment Rental,43670.25,BR308,2024-02
M201,Airport Gift Shop,98230.00,BR301,2024-03
M202,Hotel Resort & Spa,135890.25,BR302,2024-03
M203,Convention Center Catering,93450.75,BR303,2024-03
M204,Golf Club Pro Shop,60125.50,BR304,2024-03
M205,Marina Restaurant,82890.00,BR305,2024-03
M206,Resort Boutique,53780.75,BR306,2024-03
M207,Tourist Information Center,37230.25,BR307,2024-03
M208,Beach Equipment Rental,46120.00,BR308,2024-03
M209,Mountain Lodge,108234.75,BR309,2024-03
